iter	Passed	Remaining
0	146	146748
1	148	74140
2	150	49926
3	151	37755
4	152	30436
5	154	25618
6	155	22123
7	157	19505
8	160	17715
9	162	16045
10	163	14729
11	165	13592
12	166	12659
13	167	11828
14	169	11109
15	170	10475
16	171	9924
17	175	9600
18	177	9189
19	180	8824
20	181	8452
21	182	8113
22	183	7814
23	185	7533
24	186	7267
25	189	7098
26	191	6884
27	192	6688
28	193	6491
29	194	6302
30	196	6130
31	197	5967
32	198	5819
33	199	5672
34	200	5533
35	201	5403
36	203	5301
37	204	5189
38	206	5077
39	207	4970
40	208	4868
41	209	4771
42	210	4683
43	211	4601
44	212	4520
45	214	4442
46	217	4412
47	218	4338
48	219	4266
49	221	4202
50	222	4142
51	223	4079
52	224	4018
53	226	3960
54	227	3904
55	228	3848
56	229	3793
57	232	3772
58	233	3723
59	234	3675
60	235	3627
61	236	3579
62	237	3533
63	238	3489
64	239	3449
65	240	3410
66	242	3371
67	243	3333
68	244	3297
69	247	3282
70	248	3246
71	249	3211
72	250	3176
73	251	3142
74	252	3109
75	253	3078
76	254	3051
77	255	3023
78	256	2993
79	257	2966
80	259	2939
81	262	2936
82	263	2905
83	264	2885
84	266	2866
85	268	2849
86	269	2826
87	270	2806
88	272	2785
89	273	2763
90	274	2740
91	275	2723
92	277	2704
93	278	2684
94	279	2665
95	280	2644
96	281	2623
97	282	2603
98	283	2582
99	285	2565
100	286	2548
101	287	2531
102	290	2530
103	291	2512
104	292	2495
105	294	2480
106	295	2463
107	296	2447
108	297	2433
109	298	2418
110	300	2403
111	301	2392
112	304	2393
113	306	2381
114	307	2368
115	309	2355
116	309	2339
117	311	2325
118	312	2311
119	313	2298
120	314	2285
121	315	2271
122	316	2258
123	319	2257
124	321	2247
125	322	2234
126	322	2220
127	324	2209
128	325	2198
129	326	2186
130	327	2175
131	329	2165
132	330	2153
133	331	2142
134	332	2130
135	335	2131
136	337	2123
137	338	2112
138	339	2102
139	340	2091
140	341	2080
141	342	2067
142	343	2058
143	344	2048
144	345	2038
145	346	2027
146	347	2017
147	350	2018
148	351	2008
149	352	1998
150	353	1988
151	354	1979
152	355	1969
153	356	1959
154	357	1950
155	359	1942
156	360	1934
157	361	1925
158	362	1916
159	364	1915
160	365	1906
161	367	1899
162	368	1891
163	369	1886
164	371	1878
165	372	1873
166	374	1867
167	375	1861
168	376	1853
169	380	1856
170	381	1850
171	382	1842
172	383	1834
173	384	1827
174	386	1821
175	387	1815
176	388	1808
177	390	1801
178	391	1794
179	392	1787
180	395	1790
181	396	1783
182	398	1777
183	399	1770
184	400	1763
185	401	1756
186	402	1750
187	403	1744
188	405	1737
189	406	1731
190	407	1725
191	410	1727
192	411	1720
193	412	1714
194	413	1708
195	415	1703
196	416	1697
197	417	1691
198	418	1686
199	419	1679
200	421	1674
201	422	1668
202	425	1669
203	426	1664
204	427	1658
205	428	1653
206	430	1648
207	431	1643
208	432	1638
209	433	1632
210	435	1626
211	436	1621
212	437	1616
213	440	1617
214	441	1612
215	442	1607
216	443	1601
217	445	1597
218	446	1592
219	447	1587
220	448	1582
221	449	1577
222	451	1572
223	452	1566
224	454	1565
225	456	1563
226	457	1559
227	459	1554
228	460	1549
229	461	1544
230	462	1539
231	463	1534
232	464	1528
233	465	1523
234	466	1518
235	467	1513
236	470	1513
237	471	1509
238	472	1504
239	473	1499
240	474	1494
241	475	1490
242	476	1485
243	478	1481
244	479	1476
245	480	1472
246	481	1467
247	482	1462
248	485	1465
249	487	1463
250	489	1460
251	491	1457
252	493	1455
253	495	1454
254	501	1463
255	503	1464
256	505	1461
257	507	1458
258	508	1455
259	510	1452
260	512	1449
261	516	1455
262	518	1453
263	520	1450
264	528	1464
265	529	1461
266	531	1459
267	533	1455
268	534	1452
269	536	1449
270	537	1445
271	538	1441
272	539	1437
273	540	1433
274	542	1429
275	543	1425
276	545	1422
277	546	1419
278	548	1417
279	549	1413
280	551	1410
281	552	1405
282	553	1401
283	554	1397
284	555	1393
285	561	1400
286	562	1397
287	564	1394
288	565	1390
289	566	1386
290	567	1382
291	568	1378
292	569	1374
293	570	1370
294	575	1375
295	577	1374
296	579	1371
297	580	1368
298	582	1365
299	583	1362
300	585	1360
301	594	1374
302	599	1378
303	605	1387
304	609	1388
305	610	1385
306	612	1382
307	613	1378
308	615	1375
309	616	1372
310	626	1388
311	628	1386
312	631	1385
313	632	1382
314	636	1384
315	639	1385
316	641	1382
317	646	1386
318	653	1394
319	655	1392
320	657	1390
321	659	1388
322	660	1385
323	662	1382
324	666	1384
325	668	1381
326	669	1378
327	671	1375
328	673	1372
329	675	1372
330	677	1369
331	681	1371
332	683	1368
333	684	1365
334	686	1362
335	687	1359
336	689	1356
337	693	1357
338	694	1354
339	696	1351
340	697	1348
341	700	1347
342	702	1344
343	703	1341
344	705	1339
345	708	1339
346	748	1408
347	749	1404
348	751	1401
349	752	1398
350	754	1395
351	757	1395
352	759	1392
353	761	1388
354	762	1385
355	800	1448
356	802	1445
357	805	1445
358	807	1442
359	809	1439
360	811	1435
361	812	1432
362	814	1429
363	816	1425
364	817	1422
365	819	1419
366	823	1420
367	825	1418
368	827	1414
369	831	1415
370	832	1412
371	834	1409
372	842	1416
373	844	1413
374	848	1414
375	850	1411
376	852	1408
377	856	1409
378	859	1408
379	866	1413
380	901	1465
381	903	1461
382	905	1458
383	906	1454
384	908	1451
385	911	1450
386	918	1455
387	920	1452
388	922	1448
389	924	1445
390	927	1445
391	929	1440
392	930	1436
393	931	1432
394	933	1429
395	934	1425
396	936	1422
397	946	1431
398	947	1427
399	949	1424
400	950	1420
401	952	1416
402	954	1413
403	958	1413
404	960	1411
405	962	1407
406	963	1403
407	964	1400
408	966	1396
409	968	1393
410	970	1390
411	973	1390
412	975	1386
413	977	1383
414	980	1382
415	982	1379
416	984	1376
417	987	1375
418	994	1378
419	1005	1388
420	1007	1385
421	1009	1382
422	1010	1378
423	1012	1375
424	1014	1372
425	1015	1368
426	1018	1367
427	1020	1363
428	1021	1360
429	1023	1356
430	1025	1353
431	1026	1350
432	1029	1347
433	1030	1344
434	1034	1343
435	1036	1340
436	1037	1336
437	1039	1333
438	1045	1336
439	1047	1332
440	1050	1331
441	1052	1328
442	1055	1326
443	1056	1323
444	1058	1320
445	1059	1316
446	1061	1313
447	1065	1312
448	1067	1309
449	1069	1307
450	1070	1303
451	1074	1302
452	1076	1299
453	1077	1296
454	1093	1309
455	1094	1305
456	1096	1303
457	1098	1300
458	1101	1298
459	1105	1297
460	1106	1293
461	1109	1292
462	1112	1289
463	1114	1287
464	1116	1284
465	1118	1282
466	1120	1278
467	1122	1275
468	1126	1275
469	1127	1271
470	1129	1268
471	1149	1286
472	1151	1282
473	1156	1283
474	1158	1280
475	1160	1277
476	1162	1274
477	1165	1273
478	1167	1269
479	1171	1268
480	1173	1265
481	1175	1263
482	1176	1259
483	1180	1258
484	1182	1255
485	1186	1255
486	1189	1252
487	1196	1255
488	1197	1251
489	1202	1251
490	1204	1248
491	1206	1245
492	1209	1243
493	1211	1240
494	1213	1237
495	1222	1241
496	1236	1251
497	1238	1248
498	1240	1245
499	1243	1243
500	1247	1242
501	1250	1240
502	1251	1237
503	1253	1233
504	1257	1232
505	1262	1232
506	1265	1230
507	1267	1227
508	1268	1224
509	1272	1222
510	1287	1232
511	1289	1228
512	1290	1225
513	1292	1222
514	1294	1218
515	1295	1215
516	1297	1211
517	1298	1208
518	1300	1205
519	1301	1201
520	1303	1198
521	1304	1194
522	1306	1191
523	1317	1197
524	1319	1193
525	1335	1203
526	1337	1200
527	1344	1202
528	1346	1198
529	1347	1195
530	1349	1192
531	1351	1189
532	1362	1193
533	1363	1190
534	1365	1186
535	1366	1183
536	1368	1179
537	1372	1178
538	1374	1175
539	1375	1172
540	1382	1172
541	1391	1176
542	1394	1173
543	1397	1171
544	1398	1167
545	1403	1167
546	1408	1166
547	1410	1163
548	1411	1159
549	1414	1157
550	1416	1154
551	1420	1153
552	1422	1149
553	1424	1146
554	1426	1143
555	1427	1140
556	1429	1136
557	1431	1133
558	1435	1132
559	1436	1128
560	1438	1125
561	1440	1122
562	1442	1119
563	1444	1116
564	1445	1113
565	1449	1111
566	1451	1108
567	1453	1105
568	1456	1103
569	1458	1099
570	1460	1097
571	1461	1093
572	1465	1092
573	1468	1089
574	1470	1087
575	1472	1084
576	1475	1081
577	1480	1081
578	1482	1077
579	1484	1075
580	1486	1071
581	1489	1069
582	1491	1066
583	1495	1065
584	1497	1062
585	1501	1060
586	1503	1057
587	1504	1054
588	1506	1051
589	1507	1047
590	1511	1045
591	1512	1042
592	1515	1039
593	1516	1036
594	1518	1033
595	1522	1031
596	1525	1029
597	1527	1026
598	1529	1023
599	1530	1020
600	1532	1017
601	1533	1014
602	1534	1010
603	1536	1007
604	1537	1003
605	1538	1000
606	1542	998
607	1544	995
608	1545	992
